Primary_key,Currency,Rate,Base,Date,Timestamp,Rate_Checker
AED2024060316,AED,3.6729,USD,2024-06-03,1717430400,202406031636729
AFN2024060316,AFN,71.000004,USD,2024-06-03,1717430400,202406031671000
ALL2024060316,ALL,92.614283,USD,2024-06-03,1717430400,202406031692614
AMD2024060316,AMD,387.131734,USD,2024-06-03,1717430400,202406031638713
ANG2024060316,ANG,1.801096,USD,2024-06-03,1717430400,202406031618010
AOA2024060316,AOA,852.223,USD,2024-06-03,1717430400,202406031685222
ARS2024060316,ARS,896.2254,USD,2024-06-03,1717430400,202406031689622
AUD2024060316,AUD,1.496535,USD,2024-06-03,1717430400,202406031614965
AWG2024060316,AWG,1.8025,USD,2024-06-03,1717430400,202406031618025
AZN2024060316,AZN,1.7,USD,2024-06-03,1717430400,202406031617
BAM2024060316,BAM,1.803561,USD,2024-06-03,1717430400,202406031618035
BBD2024060316,BBD,2.0,USD,2024-06-03,1717430400,202406031620
BDT2024060316,BDT,117.373138,USD,2024-06-03,1717430400,202406031611737
BGN2024060316,BGN,1.800185,USD,2024-06-03,1717430400,202406031618001
BHD2024060316,BHD,0.376995,USD,2024-06-03,1717430400,202406031603769
BIF2024060316,BIF,2877.75,USD,2024-06-03,1717430400,202406031628777
BMD2024060316,BMD,1.0,USD,2024-06-03,1717430400,202406031610
BND2024060316,BND,1.349791,USD,2024-06-03,1717430400,202406031613497
BOB2024060316,BOB,6.905296,USD,2024-06-03,1717430400,202406031669052
BRL2024060316,BRL,5.2362,USD,2024-06-03,1717430400,202406031652362
BSD2024060316,BSD,1.0,USD,2024-06-03,1717430400,202406031610
BTC2024060316,BTC,1.4373107e-05,USD,2024-06-03,1717430400,202406031614373
BTN2024060316,BTN,83.083402,USD,2024-06-03,1717430400,202406031683083
BWP2024060316,BWP,13.689724,USD,2024-06-03,1717430400,202406031613689
BYN2024060316,BYN,3.270594,USD,2024-06-03,1717430400,202406031632705
BZD2024060316,BZD,2.014404,USD,2024-06-03,1717430400,202406031620144
CAD2024060316,CAD,1.362757,USD,2024-06-03,1717430400,202406031613627
CDF2024060316,CDF,2837.0,USD,2024-06-03,1717430400,202406031628370
CHF2024060316,CHF,0.895425,USD,2024-06-03,1717430400,202406031608954
CLF2024060316,CLF,0.032812,USD,2024-06-03,1717430400,202406031600328
CLP2024060316,CLP,905.11,USD,2024-06-03,1717430400,202406031690511
CNH2024060316,CNH,7.254963,USD,2024-06-03,1717430400,202406031672549
CNY2024060316,CNY,7.2427,USD,2024-06-03,1717430400,202406031672427
COP2024060316,COP,3853.665381,USD,2024-06-03,1717430400,202406031638536
CRC2024060316,CRC,520.658934,USD,2024-06-03,1717430400,202406031652065
CUC2024060316,CUC,1.0,USD,2024-06-03,1717430400,202406031610
CUP2024060316,CUP,25.75,USD,2024-06-03,1717430400,20240603162575
CVE2024060316,CVE,102.05,USD,2024-06-03,1717430400,202406031610205
CZK2024060316,CZK,22.655449,USD,2024-06-03,1717430400,202406031622655
DJF2024060316,DJF,177.5,USD,2024-06-03,1717430400,20240603161775
