Currency,Rate,Base,Timestamp,Date
AED,3.67295,USD,1717394400,20240603
AFN,71.741032,USD,1717394400,20240603
ALL,92.780552,USD,1717394400,20240603
AMD,388.055345,USD,1717394400,20240603
ANG,1.801091,USD,1717394400,20240603
AOA,855.074367,USD,1717394400,20240603
ARS,895.601455,USD,1717394400,20240603
AUD,1.505079,USD,1717394400,20240603
AWG,1.8,USD,1717394400,20240603
AZN,1.7,USD,1717394400,20240603
BAM,1.801452,USD,1717394400,20240603
BBD,2.0,USD,1717394400,20240603
BDT,117.327364,USD,1717394400,20240603
BGN,1.801511,USD,1717394400,20240603
BHD,0.376865,USD,1717394400,20240603
BIF,2870.013178,USD,1717394400,20240603
BMD,1.0,USD,1717394400,20240603
BND,1.350963,USD,1717394400,20240603
BOB,6.920151,USD,1717394400,20240603
BRL,5.2459,USD,1717394400,20240603
BSD,1.0,USD,1717394400,20240603
BTC,1.4564289e-05,USD,1717394400,20240603
BTN,83.418536,USD,1717394400,20240603
BWP,13.699311,USD,1717394400,20240603
BYN,3.270515,USD,1717394400,20240603
BZD,2.014424,USD,1717394400,20240603
CAD,1.36367,USD,1717394400,20240603
CDF,2795.672627,USD,1717394400,20240603
CHF,0.901523,USD,1717394400,20240603
CLF,0.033308,USD,1717394400,20240603
CLP,917.431193,USD,1717394400,20240603
CNH,7.261817,USD,1717394400,20240603
CNY,7.2458,USD,1717394400,20240603
COP,3859.096083,USD,1717394400,20240603
CRC,520.68955,USD,1717394400,20240603
CUC,1.0,USD,1717394400,20240603
CUP,25.75,USD,1717394400,20240603
CVE,101.563997,USD,1717394400,20240603
CZK,22.741902,USD,1717394400,20240603
DJF,177.932951,USD,1717394400,20240603
DKK,6.872731,USD,1717394400,20240603
DOP,59.133722,USD,1717394400,20240603
DZD,134.583485,USD,1717394400,20240603
EGP,47.2997,USD,1717394400,20240603
ERN,15.0,USD,1717394400,20240603
ETB,57.433303,USD,1717394400,20240603
EUR,0.921442,USD,1717394400,20240603
FJD,2.26045,USD,1717394400,20240603
FKP,0.785102,USD,1717394400,20240603
GBP,0.785102,USD,1717394400,20240603
GEL,2.79,USD,1717394400,20240603
GGP,0.785102,USD,1717394400,20240603
GHS,14.740207,USD,1717394400,20240603
GIP,0.785102,USD,1717394400,20240603
GMD,67.775,USD,1717394400,20240603
GNF,8596.37415,USD,1717394400,20240603
GTQ,7.763869,USD,1717394400,20240603
GYD,209.198004,USD,1717394400,20240603
HKD,7.819049,USD,1717394400,20240603
HNL,24.692472,USD,1717394400,20240603
HRK,6.943197,USD,1717394400,20240603
HTG,132.710692,USD,1717394400,20240603
HUF,358.9856,USD,1717394400,20240603
IDR,16224.775205,USD,1717394400,20240603
ILS,3.69905,USD,1717394400,20240603
IMP,0.785102,USD,1717394400,20240603
INR,83.085498,USD,1717394400,20240603
IQD,1309.122722,USD,1717394400,20240603
IRR,42225.0,USD,1717394400,20240603
ISK,137.38,USD,1717394400,20240603
JEP,0.785102,USD,1717394400,20240603
JMD,155.525366,USD,1717394400,20240603
JOD,0.7088,USD,1717394400,20240603
JPY,157.4125,USD,1717394400,20240603
KES,130.5,USD,1717394400,20240603
KGS,87.7,USD,1717394400,20240603
KHR,4090.614842,USD,1717394400,20240603
KMF,454.250319,USD,1717394400,20240603
KPW,900.0,USD,1717394400,20240603
KRW,1375.847338,USD,1717394400,20240603
KWD,0.30669,USD,1717394400,20240603
KYD,0.832834,USD,1717394400,20240603
KZT,446.738887,USD,1717394400,20240603
LAK,21471.026735,USD,1717394400,20240603
LBP,89489.070014,USD,1717394400,20240603
LKR,300.665838,USD,1717394400,20240603
LRD,193.899976,USD,1717394400,20240603
LSL,18.732236,USD,1717394400,20240603
LYD,4.84853,USD,1717394400,20240603
MAD,9.929536,USD,1717394400,20240603
